ship	leg	departure	arrival	startx	starty	destinationx	destinationy
2	1	1757	1757	800	-100	1011	879
3	1	1757	1757	800	-150	1011	879
4	1	1757	1757	800	-200	1011	879
5	1	1757	1757	800	-250	1011	879
6	1	1757	1757	800	-300	1011	879
7	1	1757	1757	800	-350	1011	879
8	1	1757	1757	800	-400	1011	879
9	1	1757	1757	800	-450	1011	879
10	1	1757	1757	800	-500	1011	879
11	1	1758	1758	800	-100	1011	879
12	1	1758	1758	800	-150	1011	879
13	1	1758	1758	800	-200	1011	879
14	1	1758	1758	800	-250	1011	879
15	1	1758	1758	800	-300	1011	879
16	1	1758	1758	800	-350	1011	879
17	1	1758	1758	800	-400	1011	879
18	1	1758	1758	800	-450	1011	879
19	1	1758	1758	800	-500	1011	879
20	1	1758	1758	800	-550	1011	879
21	1	1759	1759	800	-100	1011	879
22	1	1759	1759	800	-150	1011	879
23	1	1759	1759	800	-200	1011	879
24	1	1759	1759	800	-250	1011	879
25	1	1759	1759	800	-300	1011	879
26	1	1759	1759	800	-350	1011	879
27	1	1759	1759	800	-400	1011	879
28	1	1759	1759	800	-450	1011	879
29	1	1760	1760	800	-100	1011	879
30	1	1760	1760	800	-150	1011	879
31	1	1760	1760	800	-200	1011	879
32	1	1760	1760	800	-250	1011	879
33	1	1760	1760	800	-300	1011	879
34	1	1760	1760	800	-350	1011	879
35	1	1760	1760	800	-400	1011	879
36	1	1761	1761	800	-100	1011	879
37	1	1761	1761	800	-150	1011	879
38	1	1761	1761	800	-200	1011	879
39	1	1761	1761	800	-250	1011	879
40	1	1761	1761	800	-300	1011	879
41	1	1761	1761	800	-350	1011	879
42	1	1761	1761	800	-400	1011	879
43	1	1761	1761	800	-450	1011	879
44	1	1761	1761	800	-500	1011	879
45	1	1761	1761	800	-550	1011	879
46	1	1762	1762	800	-100	1011	879
47	1	1762	1762	800	-150	1011	879
48	1	1762	1762	800	-200	1011	879
49	1	1762	1762	800	-250	1011	879
50	1	1762	1762	800	-300	1011	879
51	1	1762	1762	800	-350	1011	879
52	1	1762	1762	800	-400	1011	879
53	1	1762	1762	800	-450	1011	879
54	1	1762	1762	800	-500	1011	879
55	1	1762	1762	800	-500	1011	879
56	1	1763	1763	800	-100	1011	879
57	1	1763	1763	800	-150	1011	879
